Index        Time    Address    Value

  2:         400   06000000   RXGAIN
  3:          15   00000000   WOBBLE1
  4:          15   00000080   00000000
  5:          15   00001081   00000000
  6:          15   00002083   0000D6D8
  7:          15   00002081   00000003
  8:          15   00000080   00000023
  9:          15   00000080   00000000
 10:          15   00004081   00000001
 11:          15   00004190   0000051E
 12:          15   00004190   0000B856
 13:          15   00004191   RXPHASE
 14:          15   00004191   00000000
 15:          15   000041A2   00000001
 16:          15   000041A4   00000041
 17:          15   000041A5   IGNOREPNTS_CIC
 18:          15   000041A0   DEC1
 19:          15   000041B0   TRUNCDEC1
 20:          15   00000080   00000001
 21:          15   00000000   WOBBLE2
 22:          15   000041C0   00000003
 23:          15   000041C0   00000001
 24:          15   000041C2   00000001
 25:          15   000041C0   00000000
 26:          15   000041C1   00000002
 27:          15   000041C3   00001770
 28:          15   000041C4   00000014
 29:          15   00000000   WOBBLE2
 30:          15   00002084   00000009
 31:          15   00002082   00000004
 32:          15   00002082   00000000
 33:          15   00002085   00000001
 34:          15   00006081   00000001
 35:          15   00001081   00001000
 36:          15   00001081   00000400
 37:          15   00001182   00000538
 38:         215   00001182   00004128
 39:          15   00001282   00000538
 40:         200   00001282   00004128
 41:         200   00000080   00000010
 42:        8845   00000080   00000000
 43:          15   00001183   00000000
 44:         200   00001183   00000085
 45:          15   00001283   00000000
 46:         200   00001283   00000085
 47:          15   00001180   00000049
 48:         200   00001180   00000000
 49:          15   00001280   00000049
 50:         200   00001280   00000000
 51:          15   00001083   00000000
 52:          15   00001181   00000100
 53:         100   00001181   00000080
 54:          15   00001281   00000100
 55:         100   00001281   00000080
 56:          15   0000118A   00002800
 57:         100   0000118A   JITTER1
 58:          15   0000128A   00002800
 59:         100   0000128A   JITTER2
 60:      238665   00001081   00000400
 61:          15   0000118E   00000000
 62:          15   0000118E   00000000
 63:          15   0000118E   TXFREQ11
 64:         215   0000118E   TXFREQ12
 65:          15   0000128E   00000000
 66:          15   0000128E   00000000
 67:          25   0000128E   TXFREQ21
 68:         200   0000128E   TXFREQ22
 69:          15   00004190   RXFREQ1
 70:          15   00004190   RXFREQ2
 71:          15   00001180   00000049
 72:         215   00001180   00002000
 73:          15   00000080   00000008
 74:          25   00000080   00000002
 75:          15   00000080   00000004
 76:          15   00000080   00000010
 77:          15   00000080   00000000
 78:          15   00001180   00000049
 79:        5125   00001180   00000000
 80:        3000   00000000   WOBBLE3
