Index        Ticks   Address    Value

  2:          400   06000000   RXGAIN
  3:           10   00000000   WOBBLE1
  4:           10   00000080   00000000
  5:           10   00001081   00000000
  6:           10   00002083   0000D6D8
  7:           10   00002081   00000003
  8:           10   00000080   00000023
  9:           10   00000080   00000000
 10:           10   00004081   00000001
 11:           10   00004190   0000051E
 12:           10   00004190   0000B856
 13:           10   00004191   RXPHASE
 14:           10   00004191   00000000
 15:           10   000041A2   00000001
 16:           10   000041A4   00000041
 17:           10   000041A5   IGNOREPNTS_FIR
 18:           10   000041A0   DEC1
 19:           10   000041B0   TRUNCDEC1
 20:           10   00000080   00000001
 21:           10   00000000   WOBBLE2
 22:           10   000041C0   00000003
 23:           10   000041C0   00000001
 24:           10   000041C2   00000000
 25:           10   000041C2   00000000
 26:           10   000041C2   00000000
 27:           10   000041C2   00000000
 28:           10   000041C2   00000000
 29:           10   000041C2   00000000
 30:           10   000041C2   00000000
 31:           10   000041C2   00000000
 32:           10   000041C2   00000000
 33:           10   000041C2   00000000
 34:           10   000041C2   000003C1
 35:           10   000041C2   00FFE8D5
 36:           10   000041C2   000052CF
 37:           10   000041C2   00FF1F1C
 38:           10   000041C2   0001FFFF
 39:           10   000041C2   00000000
 40:           10   000041C2   00000000
 41:           10   000041C2   00000000
 42:           10   000041C2   00000000
 43:           10   000041C2   00000000
 44:           10   000041C2   00000000
 45:           10   000041C2   00000000
 46:           10   000041C2   00000000
 47:           10   000041C2   00000000
 48:           10   000041C2   00000000
 49:           10   000041C2   00000160
 50:           10   000041C2   00FFF753
 51:           10   000041C2   00001BB1
 52:           10   000041C2   00FFCA8D
 53:           10   000041C2   00001663
 54:           10   000041C0   00000001
 55:           10   000041C1   00000002
 56:           10   000041C3   00001770
 57:           10   000041C4   00000014
 58:           10   00000000   WOBBLE2
 59:           10   00002084   00000009
 60:           10   00002082   00000004
 61:           10   00002082   00000000
 62:           10   00002085   00000001
 63:           10   00006081   00000001
 64:           10   00001081   00001000
 65:           10   00001081   00000400
 66:           10   00001182   00000538
 67:          200   00001182   00004128
 68:           10   00001282   00000538
 69:          200   00001282   00004128
 70:          200   00000080   00000010
 71:         8425   00000080   00000000
 72:           10   00001183   00000000
 73:          200   00001183   00000085
 74:           10   00001283   00000000
 75:          200   00001283   00000085
 76:           10   00001180   00000049
 77:          200   00001180   00000000
 78:           10   00001280   00000049
 79:          200   00001280   00000000
 80:           10   00001083   00000000
 81:           10   00001181   00000100
 82:          100   00001181   00000080
 83:           10   00001281   00000100
 84:          100   00001281   00000080
 85:           10   0000118A   00002800
 86:          100   0000118A   JITTER1
 87:           10   0000128A   00002800
 88:          100   0000128A   JITTER2
 89:       238665   00001081   00000400
 90:           10   0000118E   00000000
 91:           10   0000118E   00000000
 92:           10   0000118E   TXFREQ11
 93:          210   0000118E   TXFREQ12
 94:           10   0000128E   00000000
 95:           10   0000128E   00000000
 96:           25   0000128E   TXFREQ21
 97:          210   0000128E   TXFREQ22
 98:           10   00004190   RXFREQ1
 99:           10   00004190   RXFREQ2
100:           10   00001180   00000049
101:          210   00001180   00002000
102:           10   00000080   00000008
103:           25   00000080   00000002
104:           10   00000080   00000004
105:           10   00000080   00000010
106:           10   00000080   00000000
107:           10   00001180   00000049
108:         5125   00001180   00000000
109:         3000   00000000   WOBBLE3
